caseID,taskID,originator,eventtype,contact,RepairType,objectKey,RepairInternally,EstimatedRepairTime,RepairCode,RepairOK,date,time
547,InternRepair,Cindy,complete,Nope,O,0.0,False,0.0,0.0,False,2022-01-01,15:44
387,SendTicketToFinAdmin,System,complete,Nope,O,0.0,False,0.0,0.0,False,2022-01-02,18:51
660,Survey,Barbara,complete,Nope,O,0.0,True,120.0,1.0,False,2022-01-03,7:57
818,Survey,John,start,Nope,O,0.0,False,0.0,0.0,False,2022-01-04,6:25
805,SendTicketToFinAdmin,System,complete,Nope,O,0.0,False,0.0,0.0,False,2022-01-05,16:58
854,MakeTicket,Dian,start,Nope,O,0.0,False,0.0,0.0,False,2022-01-06,18:50
821,InformClientSurvey,System,complete,Nope,O,0.0,False,0.0,0.0,False,2022-01-07,1:06
888,Survey,Edd,complete,Nope,O,0.0,True,240.0,1.0,False,2022-01-08,3:35
39,MakeTicket,Dian,start,Nope,O,0.0,False,0.0,0.0,False,2022-01-09,17:57
378,Survey,Anne,start,Nope,O,0.0,False,0.0,0.0,False,2022-01-10,21:51
881,ArrangeSurvey,Monica,complete,Nope,O,0.0,False,0.0,0.0,False,2022-01-11,21:30
492,ArrangeSurvey,Monica,start,Nope,O,0.0,False,0.0,0.0,False,2022-01-12,2:10
51,InformClientSurvey,System,complete,Nope,O,0.0,False,0.0,0.0,False,2022-01-13,22:57
60,SendTicketToFinAdmin,System,complete,Nope,O,0.0,False,0.0,0.0,False,2022-01-14,23:15
722,Survey,John,complete,Nope,O,0.0,True,240.0,1.0,False,2022-01-15,7:29
259,RepairReady,System,complete,Nope,O,0.0,False,0.0,0.0,True,2022-01-16,13:23
748,Survey,Cindy,start,Nope,O,0.0,False,0.0,0.0,False,2022-01-17,10:22
288,FirstContact,Dian,complete,Letter,O,0.0,False,0.0,0.0,False,2022-01-18,8:41
967,InformClientSurvey,System,complete,Nope,O,0.0,False,0.0,0.0,False,2022-01-19,3:42
473,MakeTicket,Dian,start,Nope,O,0.0,False,0.0,0.0,False,2022-01-20,19:40
647,ImmediateRepair,Barbara,complete,Nope,O,0.0,False,0.0,0.0,False,2022-01-21,8:07
755,InformClientSurvey,System,complete,Nope,O,0.0,False,0.0,0.0,False,2022-01-22,12:35
1000,SendTicketToFinAdmin,System,complete,Nope,O,0.0,False,0.0,0.0,False,2022-01-23,1:11
157,RepairReady,System,complete,Nope,O,0.0,False,0.0,0.0,True,2022-01-24,19:06
97,MakeTicket,Dian,start,Nope,O,0.0,False,0.0,0.0,False,2022-01-25,6:58
313,ReadyInformClient,System,complete,Nope,O,0.0,False,0.0,0.0,True,2022-01-26,0:25
771,InternRepair,John,start,Nope,O,0.0,False,0.0,0.0,False,2022-01-27,18:30
303,InternRepair,Cindy,start,Nope,O,0.0,False,0.0,0.0,False,2022-01-28,3:27
989,ArrangeSurvey,Monica,start,Nope,O,0.0,False,0.0,0.0,False,2022-01-29,21:24
754,MakeTicket,Dian,start,Nope,O,0.0,False,0.0,0.0,False,2022-01-30,0:40
765,MakeTicket,Monica,complete,Nope,E,8615.0,False,0.0,0.0,False,2022-01-31,14:12
126,InternRepair,Edd,start,Nope,O,0.0,False,0.0,0.0,False,2022-02-01,22:48
790,InternRepair,Barbara,complete,Nope,O,0.0,False,0.0,0.0,False,2022-02-02,23:42
772,MakeTicket,Monica,complete,Nope,B,1643.0,False,0.0,0.0,False,2022-02-03,6:47
200,Survey,Jacky,complete,Nope,O,0.0,True,120.0,1.0,False,2022-02-04,11:05
335,InternRepair,Paul,start,Nope,O,0.0,False,0.0,0.0,False,2022-02-05,8:47
597,MakeTicket,Dian,complete,Nope,B,9528.0,False,0.0,0.0,False,2022-02-06,0:55
163,RepairReady,System,complete,Nope,O,0.0,False,0.0,0.0,True,2022-02-07,15:32
725,Survey,Cindy,start,Nope,O,0.0,False,0.0,0.0,False,2022-02-08,23:11
609,TicketReady,System,complete,Nope,O,0.0,False,0.0,0.0,False,2022-02-09,22:36
171,ArrangeSurvey,Monica,start,Nope,O,0.0,False,0.0,0.0,False,2022-02-10,12:24
241,RepairReady,System,complete,Nope,O,0.0,False,0.0,0.0,True,2022-02-11,8:59
746,MakeTicket,Dian,start,Nope,O,0.0,False,0.0,0.0,False,2022-02-12,9:20
329,MakeTicket,Monica,complete,Nope,B,2916.0,False,0.0,0.0,False,2022-02-13,10:22
365,Survey,John,complete,Nope,O,0.0,True,220.0,2.0,False,2022-02-14,15:43
664,MakeTicket,Monica,start,Nope,O,0.0,False,0.0,0.0,False,2022-02-15,5:57
46,InformClientSurvey,System,complete,Nope,O,0.0,False,0.0,0.0,False,2022-02-16,15:02
71,MakeTicket,Dian,complete,Nope,E,8630.0,False,0.0,0.0,False,2022-02-17,20:09
657,Survey,John,complete,Nope,O,0.0,True,240.0,1.0,False,2022-02-18,19:11
486,ReadyInformClient,System,complete,Nope,O,0.0,False,0.0,0.0,True,2022-02-19,12:49
123,RepairReady,System,complete,Nope,O,0.0,False,0.0,0.0,True,2022-02-20,10:24
673,ArrangeSurvey,Monica,complete,Nope,O,0.0,False,0.0,0.0,False,2022-02-21,6:41
604,InternRepair,Jacky,start,Nope,O,0.0,False,0.0,0.0,False,2022-02-22,8:22
764,TicketReady,System,complete,Nope,O,0.0,False,0.0,0.0,False,2022-02-23,4:17
427,Survey,Jacky,complete,Nope,O,0.0,True,120.0,1.0,False,2022-02-24,14:23
181,RepairReady,System,complete,Nope,O,0.0,False,0.0,0.0,True,2022-02-25,5:28
330,FirstContact,Monica,complete,Phone,O,0.0,False,0.0,0.0,False,2022-02-26,21:47
688,SendTicketToFinAdmin,System,complete,Nope,O,0.0,False,0.0,0.0,False,2022-02-27,13:01
619,RepairReady,System,complete,Nope,O,0.0,False,0.0,0.0,True,2022-02-28,10:08
981,TicketReady,System,complete,Nope,O,0.0,False,0.0,0.0,False,2022-03-01,19:10
326,RepairReady,System,complete,Nope,O,0.0,False,0.0,0.0,True,2022-03-02,23:01
714,ArrangeSurvey,Dian,start,Nope,O,0.0,False,0.0,0.0,False,2022-03-03,4:19
331,ImmediateRepair,Anne,start,Nope,O,0.0,False,0.0,0.0,False,2022-03-04,6:08
398,RepairReady,System,complete,Nope,O,0.0,False,0.0,0.0,True,2022-03-05,21:43
493,InternRepair,Jacky,complete,Nope,O,0.0,False,0.0,0.0,False,2022-03-06,13:07
630,MakeTicket,Dian,complete,Nope,E,8274.0,False,0.0,0.0,False,2022-03-07,15:34
767,MakeTicket,Monica,start,Nope,O,0.0,False,0.0,0.0,False,2022-03-08,19:26
