caseID,taskID,originator,eventtype,contact,RepairType,objectKey,RepairInternally,EstimatedRepairTime,RepairCode,RepairOK,date,time
765,MakeTicket,Monica,complete,Nope,E,8615,False,0,0,False,2022-01-31,14:12
772,MakeTicket,Monica,complete,Nope,B,1643,False,0,0,False,2022-02-03,6:47
597,MakeTicket,Dian,complete,Nope,B,9528,False,0,0,False,2022-02-06,0:55
329,MakeTicket,Monica,complete,Nope,B,2916,False,0,0,False,2022-02-13,10:22
71,MakeTicket,Dian,complete,Nope,E,8630,False,0,0,False,2022-02-17,20:09
630,MakeTicket,Dian,complete,Nope,E,8274,False,0,0,False,2022-03-07,15:34
77,MakeTicket,Monica,complete,Nope,B,1058,False,0,0,False,2022-04-03,7:11
359,MakeTicket,Dian,complete,Nope,E,1428,False,0,0,False,2022-04-22,19:56
986,MakeTicket,Dian,complete,Nope,P,6524,False,0,0,False,2022-05-07,10:24
878,MakeTicket,Monica,complete,Nope,B,348,False,0,0,False,2022-05-09,4:56
87,MakeTicket,Dian,complete,Nope,P,5525,False,0,0,False,2022-05-13,21:05
