caseID,taskID,originator,eventtype,contact,RepairType,objectKey,RepairInternally,EstimatedRepairTime,RepairCode,RepairOK,date,time
56,TicketReady,System,complete,,,,,,,,2021-01-01,10:52
968,ArrangeSurvey,Monica,complete,,,,,,,,2021-01-02,11:04
655,TicketReady,System,complete,,,,,,,,2021-01-03,2:18
927,InternRepair,Ben,complete,,,,,,,,2021-01-04,23:02
263,TicketReady,System,complete,,,,,,,,2021-01-05,4:16
732,MakeTicket,Monica,start,,,,,,,,2021-01-06,1:19
403,MakeTicket,Dian,start,,,,,,,,2021-01-07,1:43
804,ImmediateRepair,Barbara,start,,,,,,,,2021-01-08,23:17
613,ImmediateRepair,Anne,start,,,,,,,,2021-01-09,9:56
557,InternRepair,Jacky,complete,,,,,,,,2021-01-10,9:17
594,Survey,Edd,complete,,,,TRUE,240,1,,2021-01-11,21:00
613,InformClientSurvey,System,complete,,,,,,,,2021-01-12,18:56
870,InformClientSurvey,System,complete,,,,,,,,2021-01-13,14:50
322,ArrangeSurvey,Dian,start,,,,,,,,2021-01-14,5:10
694,Survey,Barbara,complete,,,,TRUE,120,3,,2021-01-15,0:30
427,InformClientSurvey,System,complete,,,,,,,,2021-01-16,7:40
574,ReadyInformClient,System,complete,,,,,,,TRUE,2021-01-17,20:26
269,FirstContact,Monica,complete,Phone,,,,,,,2021-01-18,2:52
533,MakeTicket,Monica,complete,,P,8776,,,,,2021-01-19,17:58
46,Survey,Paul,complete,,,,TRUE,220,2,,2021-01-20,4:36
441,Survey,Paul,complete,,,,TRUE,240,1,,2021-01-21,15:55
324,ArrangeSurvey,Dian,complete,,,,,,,,2021-01-22,2:14
860,ImmediateRepair,Jacky,start,,,,,,,,2021-01-23,18:52
841,ArrangeSurvey,Monica,complete,,,,,,,,2021-01-24,10:58
987,SendTicketToFinAdmin,System,complete,,,,,,,,2021-01-25,15:04
713,Survey,Paul,start,,,,,,,,2021-01-26,3:39
775,Survey,Anne,complete,,,,TRUE,120,1,,2021-01-27,10:43
155,RepairReady,System,complete,,,,,,,TRUE,2021-01-28,18:11
947,MakeTicket,Monica,complete,,P,1537,,,,,2021-01-29,5:28
575,ArrangeSurvey,Monica,start,,,,,,,,2021-01-30,12:52
174,RepairReady,System,complete,,,,,,,TRUE,2021-01-31,17:24
731,MakeTicket,Dian,complete,,P,5146,,,,,2021-02-01,5:26
792,RepairReady,System,complete,,,,,,,TRUE,2021-02-02,0:30
411,RepairReady,System,complete,,,,,,,TRUE,2021-02-03,15:03
75,ReadyInformClient,System,complete,,,,,,,TRUE,2021-02-04,8:54
548,MakeTicket,Dian,start,,,,,,,,2021-02-05,8:11
599,TicketReady,System,complete,,,,,,,,2021-02-06,12:31
834,InformClientWrongPlace,Dian,complete,,,,,,,,2021-02-07,1:27
80,Survey,Anne,complete,,,,TRUE,120,1,,2021-02-08,14:07
245,ArrangeSurvey,Dian,start,,,,,,,,2021-02-09,14:42
995,ArrangeSurvey,Monica,start,,,,,,,,2021-02-10,4:03
964,SendTicketToFinAdmin,System,complete,,,,,,,,2021-02-11,22:22
414,ImmediateRepair,Anne,complete,,,,,,,,2021-02-12,21:49
11,Survey,Anne,start,,,,,,,,2021-02-13,12:22
885,Survey,Anne,start,,,,,,,,2021-02-14,2:58
259,ReadyInformClient,System,complete,,,,,,,TRUE,2021-02-15,13:43
735,FirstContact,Dian,complete,Letter,,,,,,,2021-02-16,3:47
346,RepairReady,System,complete,,,,,,,TRUE,2021-02-17,1:39
644,InternRepair,Cindy,complete,,,,,,,,2021-02-18,20:18
761,MakeTicket,Monica,start,,,,,,,,2021-02-19,16:17
666,FirstContact,Monica,complete,Personal,,,,,,,2021-02-20,12:15
980,MakeTicket,Dian,start,,,,,,,,2021-02-21,22:37
512,MakeTicket,Monica,start,,,,,,,,2021-02-22,7:01
293,InternRepair,John,start,,,,,,,,2021-02-23,1:16
552,InternRepair,Lex,start,,,,,,,,2021-02-24,7:36
868,Survey,Edd,start,,,,,,,,2021-02-25,9:48
707,Survey,Nick,complete,,,,FALSE,480,4,,2021-02-26,0:58
292,MakeTicket,Monica,complete,,B,2030,,,,,2021-02-27,22:50
760,SendTicketToFinAdmin,System,complete,,,,,,,,2021-02-28,12:50
210,MakeTicket,Dian,complete,,P,1478,,,,,2021-03-01,20:42
113,FirstContact,Dian,complete,Web,,,,,,,2021-03-02,21:39
722,FirstContact,Monica,complete,Phone,,,,,,,2021-03-03,2:45
330,ArrangeSurvey,Monica,start,,,,,,,,2021-03-04,21:50
313,RepairReady,System,complete,,,,,,,TRUE,2021-03-05,23:23
555,ArrangeSurvey,Monica,start,,,,,,,,2021-03-06,10:35
79,InternRepair,Cindy,complete,,,,,,,,2021-03-07,16:40
656,Survey,Edd,start,,,,,,,,2021-03-08,6:45
977,TicketReady,System,complete,,,,,,,,2021-03-09,21:01
131,Survey,Lex,start,,,,,,,,2021-03-10,16:03
316,SendTicketToFinAdmin,System,complete,,,,,,,,2021-03-11,17:21
343,ArrangeSurvey,Monica,complete,,,,,,,,2021-03-12,17:55
